Second,Volt
0.45,4.21
0.450002,4.21
0.450004,4.29
0.450006,4.21
0.450008,4.29
0.45001,4.29
0.450012,4.29
0.450014,4.21
0.450016,4.29
0.450018,4.21
0.45002,4.29
0.450022,4.29
0.450024,4.21
0.450026,4.21
0.450028,4.29
0.45003,4.21
0.450032,4.29
0.450034,4.21
0.450036,4.29
0.450038,4.21
0.45004,4.21
0.450042,4.29
0.450044,4.37
0.450046,4.21
0.450048,4.21
0.45005,4.21
0.450052,4.21
0.450054,4.21
0.450056,4.21
0.450058,4.21
0.45006,4.29
0.450062,4.21
0.450064,4.29
0.450066,4.21
0.450068,4.21
0.45007,4.21
0.450072,4.29
0.450074,4.29
0.450076,4.29
0.450078,4.29
0.45008,4.29
0.450082,4.21
0.450084,4.21
0.450086,4.21
0.450088,4.21
0.45009,4.21
0.450092,4.21
0.450094,4.21
0.450096,4.21
0.450098,4.21
0.4501,4.21
0.450102,4.37
0.450104,4.29
0.450106,4.29
0.450108,4.29
0.45011,4.21
0.450112,4.21
0.450114,4.29
0.450116,4.21
0.450118,4.21
0.45012,4.21
0.450122,4.21
0.450124,4.21
0.450126,4.21
0.450128,4.21
0.45013,4.21
0.450132,4.21
0.450134,4.29
0.450136,4.29
0.450138,4.21
0.45014,4.29
0.450142,4.29
0.450144,4.21
0.450146,4.29
0.450148,4.21
0.45015,4.29
0.450152,4.21
0.450154,4.21
0.450156,4.21
0.450158,4.29
0.45016,4.29
0.450162,4.29
0.450164,4.29
0.450166,4.29
0.450168,4.21
0.45017,4.21
0.450172,4.21
0.450174,4.21
0.450176,4.21
0.450178,4.21
0.45018,4.29
0.450182,4.29
0.450184,4.29
0.450186,4.21
0.450188,4.21
0.45019,4.21
0.450192,4.21
0.450194,4.29
0.450196,4.29
0.450198,4.21
0.4502,4.29
0.450202,4.21
0.450204,4.29
0.450206,4.37
0.450208,4.21
0.45021,4.29
0.450212,4.29
0.450214,4.29
0.450216,4.21
0.450218,4.29
0.45022,4.21
0.450222,4.21
0.450224,4.37
0.450226,4.29
0.450228,4.21
0.45023,4.21
0.450232,4.29
0.450234,4.29
0.450236,4.37
0.450238,4.21
0.45024,4.29
0.450242,4.21
0.450244,4.21
0.450246,4.29
0.450248,4.29
0.45025,4.21
0.450252,4.29
0.450254,4.21
0.450256,4.37
0.450258,4.29
0.45026,4.21
0.450262,4.29
0.450264,4.21
0.450266,4.21
0.450268,4.21
0.45027,4.21
0.450272,4.21
0.450274,4.21
0.450276,4.29
0.450278,4.29
0.45028,4.21
0.450282,4.21
0.450284,4.29
0.450286,4.21
0.450288,4.29
0.45029,4.29
0.450292,4.29
0.450294,4.29
0.450296,4.29
0.450298,4.29
0.4503,4.21
0.450302,4.21
0.450304,4.37
0.450306,4.29
0.450308,4.21
0.45031,4.29
0.450312,4.21
0.450314,4.29
0.450316,4.29
0.450318,4.29
0.45032,4.29
0.450322,4.21
0.450324,4.29
0.450326,4.37
0.450328,4.21
0.45033,4.21
0.450332,4.21
0.450334,4.29
0.450336,4.21
0.450338,4.21
0.45034,4.29
0.450342,4.21
0.450344,4.29
0.450346,4.21
0.450348,4.21
0.45035,4.29
0.450352,4.29
0.450354,4.21
0.450356,4.29
0.450358,4.29
0.45036,4.29
0.450362,4.21
0.450364,4.29
0.450366,4.21
0.450368,4.21
0.45037,4.21
0.450372,4.37
0.450374,4.21
0.450376,4.21
0.450378,4.21
0.45038,4.29
0.450382,4.29
0.450384,4.21
0.450386,4.21
0.450388,4.21
0.45039,4.29
0.450392,4.21
0.450394,4.29
0.450396,4.29
0.450398,4.29
0.4504,4.21
0.450402,4.21
0.450404,4.21
0.450406,4.21
0.450408,4.29
0.45041,4.21
0.450412,4.21
0.450414,4.29
0.450416,4.29
0.450418,4.29
0.45042,4.29
0.450422,4.29
0.450424,4.21
0.450426,4.21
0.450428,4.21
0.45043,4.21
0.450432,4.21
0.450434,4.29
0.450436,4.29
0.450438,4.21
0.45044,4.21
0.450442,4.21
0.450444,4.21
0.450446,4.21
0.450448,4.21
0.45045,4.21
0.450452,4.21
0.450454,4.29
0.450456,4.21
0.450458,4.21
0.45046,4.21
0.450462,4.29
0.450464,4.21
0.450466,4.29
0.450468,4.29
0.45047,4.21
0.450472,4.13
0.450474,4.21
0.450476,4.21
0.450478,4.29
0.45048,4.21
0.450482,4.29
0.450484,4.29
0.450486,4.21
0.450488,4.21
0.45049,4.21
0.450492,4.29
0.450494,4.29
0.450496,4.21
0.450498,4.29
0.4505,4.21
0.450502,4.21
0.450504,4.29
0.450506,4.21
0.450508,4.21
0.45051,4.21
0.450512,4.21
0.450514,4.21
0.450516,4.29
0.450518,4.21
0.45052,4.21
0.450522,4.21
0.450524,4.21
0.450526,4.21
0.450528,4.21
0.45053,4.21
0.450532,4.21
0.450534,4.21
0.450536,4.21
0.450538,4.13
0.45054,4.21
0.450542,4.29
0.450544,4.21
0.450546,4.21
0.450548,4.29
0.45055,4.21
0.450552,4.21
0.450554,4.21
0.450556,4.29
0.450558,4.29
0.45056,4.29
0.450562,4.29
0.450564,4.29
0.450566,4.21
0.450568,4.21
0.45057,4.21
0.450572,4.29
0.450574,4.29
0.450576,4.29
0.450578,4.21
0.45058,4.21
0.450582,4.21
0.450584,4.21
0.450586,4.21
0.450588,4.21
0.45059,4.29
0.450592,4.29
0.450594,4.21
0.450596,4.29
0.450598,4.21
0.4506,4.29
0.450602,4.29
0.450604,4.21
0.450606,4.29
0.450608,4.21
0.45061,4.29
0.450612,4.21
0.450614,4.21
0.450616,4.21
0.450618,4.29
0.45062,4.29
0.450622,4.21
0.450624,4.29
0.450626,4.21
0.450628,4.37
0.45063,4.21
0.450632,4.21
0.450634,4.21
0.450636,4.21
0.450638,4.21
0.45064,4.21
0.450642,4.21
0.450644,4.21
0.450646,4.21
0.450648,4.29
0.45065,4.21
0.450652,4.29
0.450654,4.29
0.450656,4.21
0.450658,4.21
0.45066,4.21
0.450662,4.29
0.450664,4.13
0.450666,4.29
0.450668,4.21
0.45067,4.21
